trade_date,target_slot,generated_at,actual_kst_time,schedule_lag_minutes,base_time,base_time_source,source_time,market_session,market,program_type,sell_value,buy_value,net_buy_value,sell_volume,buy_volume,net_buy_volume,unit_value,unit_volume,source,source_url,collected_at,raw_hash
2026-05-15,1030,2026-05-15T10:49:22.541888+09:00,10:49,19,10:49,collected_at_fallback,15:30,REGULAR,KOSPI,ARBITRAGE,120691,154079,33387,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-15T10:49:22.541888+09:00,17d77dcf2a4a2a4713c614408ff2012a81632fe960bbf5177facb6466a6b027e
2026-05-15,1030,2026-05-15T10:49:22.541888+09:00,10:49,19,10:49,collected_at_fallback,15:30,REGULAR,KOSPI,NON_ARBITRAGE,6321799,5474124,-847675,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-15T10:49:22.541888+09:00,17d77dcf2a4a2a4713c614408ff2012a81632fe960bbf5177facb6466a6b027e
2026-05-15,1030,2026-05-15T10:49:22.541888+09:00,10:49,19,10:49,collected_at_fallback,15:30,REGULAR,KOSPI,TOTAL,6442490,5628203,-814287,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-15T10:49:22.541888+09:00,17d77dcf2a4a2a4713c614408ff2012a81632fe960bbf5177facb6466a6b027e
2026-05-14,1030,2026-05-15T10:49:22.541888+09:00,10:49,19,10:49,collected_at_fallback,10:49,REGULAR,KOSPI,ARBITRAGE,885773,1086017,200244,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-15T10:49:22.541888+09:00,17d77dcf2a4a2a4713c614408ff2012a81632fe960bbf5177facb6466a6b027e
2026-05-14,1030,2026-05-15T10:49:22.541888+09:00,10:49,19,10:49,collected_at_fallback,10:49,REGULAR,KOSPI,NON_ARBITRAGE,15074772,15078086,3314,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-15T10:49:22.541888+09:00,17d77dcf2a4a2a4713c614408ff2012a81632fe960bbf5177facb6466a6b027e
2026-05-14,1030,2026-05-15T10:49:22.541888+09:00,10:49,19,10:49,collected_at_fallback,10:49,REGULAR,KOSPI,TOTAL,15960545,16164103,203558,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-15T10:49:22.541888+09:00,17d77dcf2a4a2a4713c614408ff2012a81632fe960bbf5177facb6466a6b027e
2026-05-13,1030,2026-05-15T10:49:22.541888+09:00,10:49,19,10:49,collected_at_fallback,10:49,REGULAR,KOSPI,ARBITRAGE,548547,566542,17996,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-15T10:49:22.541888+09:00,17d77dcf2a4a2a4713c614408ff2012a81632fe960bbf5177facb6466a6b027e
2026-05-13,1030,2026-05-15T10:49:22.541888+09:00,10:49,19,10:49,collected_at_fallback,10:49,REGULAR,KOSPI,NON_ARBITRAGE,14801503,13268795,-1532707,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-15T10:49:22.541888+09:00,17d77dcf2a4a2a4713c614408ff2012a81632fe960bbf5177facb6466a6b027e
2026-05-13,1030,2026-05-15T10:49:22.541888+09:00,10:49,19,10:49,collected_at_fallback,10:49,REGULAR,KOSPI,TOTAL,15350049,13835338,-1514712,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-15T10:49:22.541888+09:00,17d77dcf2a4a2a4713c614408ff2012a81632fe960bbf5177facb6466a6b027e
2026-05-12,1030,2026-05-15T10:49:22.541888+09:00,10:49,19,10:49,collected_at_fallback,10:49,REGULAR,KOSPI,ARBITRAGE,999111,959659,-39452,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-15T10:49:22.541888+09:00,17d77dcf2a4a2a4713c614408ff2012a81632fe960bbf5177facb6466a6b027e
2026-05-12,1030,2026-05-15T10:49:22.541888+09:00,10:49,19,10:49,collected_at_fallback,10:49,REGULAR,KOSPI,NON_ARBITRAGE,20687583,17312545,-3375038,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-15T10:49:22.541888+09:00,17d77dcf2a4a2a4713c614408ff2012a81632fe960bbf5177facb6466a6b027e
2026-05-12,1030,2026-05-15T10:49:22.541888+09:00,10:49,19,10:49,collected_at_fallback,10:49,REGULAR,KOSPI,TOTAL,21686694,18272204,-3414489,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-15T10:49:22.541888+09:00,17d77dcf2a4a2a4713c614408ff2012a81632fe960bbf5177facb6466a6b027e
2026-05-11,1030,2026-05-15T10:49:22.541888+09:00,10:49,19,10:49,collected_at_fallback,10:49,REGULAR,KOSPI,ARBITRAGE,701265,766728,65463,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-15T10:49:22.541888+09:00,17d77dcf2a4a2a4713c614408ff2012a81632fe960bbf5177facb6466a6b027e
2026-05-11,1030,2026-05-15T10:49:22.541888+09:00,10:49,19,10:49,collected_at_fallback,10:49,REGULAR,KOSPI,NON_ARBITRAGE,16767123,12828467,-3938656,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-15T10:49:22.541888+09:00,17d77dcf2a4a2a4713c614408ff2012a81632fe960bbf5177facb6466a6b027e
2026-05-11,1030,2026-05-15T10:49:22.541888+09:00,10:49,19,10:49,collected_at_fallback,10:49,REGULAR,KOSPI,TOTAL,17468388,13595195,-3873193,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-15T10:49:22.541888+09:00,17d77dcf2a4a2a4713c614408ff2012a81632fe960bbf5177facb6466a6b027e
2026-05-08,1030,2026-05-15T10:49:22.541888+09:00,10:49,19,10:49,collected_at_fallback,10:49,REGULAR,KOSPI,ARBITRAGE,563022,602839,39817,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-15T10:49:22.541888+09:00,17d77dcf2a4a2a4713c614408ff2012a81632fe960bbf5177facb6466a6b027e
2026-05-08,1030,2026-05-15T10:49:22.541888+09:00,10:49,19,10:49,collected_at_fallback,10:49,REGULAR,KOSPI,NON_ARBITRAGE,12918714,9557448,-3361265,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-15T10:49:22.541888+09:00,17d77dcf2a4a2a4713c614408ff2012a81632fe960bbf5177facb6466a6b027e
2026-05-08,1030,2026-05-15T10:49:22.541888+09:00,10:49,19,10:49,collected_at_fallback,10:49,REGULAR,KOSPI,TOTAL,13481736,10160287,-3321448,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-15T10:49:22.541888+09:00,17d77dcf2a4a2a4713c614408ff2012a81632fe960bbf5177facb6466a6b027e
